ensembl_gene_id,entrezgene_id,external_gene_name,uniprot_gn_symbol
ENSG00000000457,57147,SCYL3,SCYL3
ENSG00000000460,55732,FIRRM,FIRRM
ENSG00000000938,2268,FGR,FGR
ENSG00000000971,3075,CFH,CFH
ENSG00000001460,90529,STPG1,STPG1
ENSG00000001461,57185,NIPAL3,NIPAL3
ENSG00000004455,204,AK2,AK2
ENSG00000004487,23028,KDM1A,KDM1A
ENSG00000006555,55001,TTC22,TTC22
ENSG00000007341,54879,ST7L,ST7L
ENSG00000007908,6401,SELE,SELE
ENSG00000007923,55735,DNAJC11,DNAJC11
ENSG00000007933,2328,FMO3,FMO3
ENSG00000007968,1870,E2F2,E2F2
ENSG00000008118,57172,CAMK1G,CAMK1G
ENSG00000008128,728642,CDK11A,CDK11A
ENSG00000008130,65220,NADK,NADK
ENSG00000009307,7812,CSDE1,CSDE1
ENSG00000009709,5081,PAX7,PAX7
ENSG00000009724,10747,MASP2,MASP2
ENSG00000009780,199870,FAM76A,FAM76A
ENSG00000009790,80342,TRAF3IP3,TRAF3IP3
ENSG00000010165,51603,METTL13,feat
ENSG00000010803,22955,SCMH1,SCMH1
ENSG00000010932,2326,FMO1,FMO1
ENSG00000011007,6924,ELOA,TCEB3
ENSG00000011009,11313,LYPLA2,LYPLA2
ENSG00000011021,1185,CLCN6,CLCN6
ENSG00000014914,10903,MTMR11,MTMR11
ENSG00000016490,1179,CLCA1,CLCA1
ENSG00000016602,22802,CLCA4,CLCA4
ENSG00000018625,477,ATP1A2,ATP1A2
ENSG00000020129,23154,NCDN,NCDN
ENSG00000020633,864,RUNX3,RUNX3
ENSG00000021852,732,C8B,C8B
ENSG00000023572,51022,GLRX2,GLRX2
ENSG00000023902,51177,PLEKHO1,PLEKHO1
ENSG00000023909,2730,GCLM,GCLM
ENSG00000024526,55635,DEPDC1,DEPDC1
ENSG00000025800,23633,KPNA6,KPNA6
ENSG00000026751,57823,SLAMF7,SLAMF7
ENSG00000027644,3645,INSRR,INSRR
ENSG00000027869,9047,SH2D2A,SH2D2A
ENSG00000028137,7133,TNFRSF1B,TNFRSF1B
ENSG00000031698,6301,SARS1,SARS1
ENSG00000033122,57554,LRRC7,LRRC7
ENSG00000034971,4653,MYOC,MYOC
ENSG00000036549,26009,ZZZ3,ZZZ3
ENSG00000037637,54455,FBXO42,FBXO42
ENSG00000040487,54896,SLC66A1,SLC66A1
ENSG00000041988,90326,THAP3,THAP3
ENSG00000042781,7399,USH2A,USH2A
ENSG00000043514,54802,TRIT1,TRIT1
ENSG00000044012,2981,GUCA2B,GUCA2B
ENSG00000047410,7175,TPR,TPR
ENSG00000048707,55187,VPS13D,VPS13D
ENSG00000049089,1298,COL9A2,COL9A2
ENSG00000049239,9563,H6PD,H6PD
ENSG00000049245,9341,VAMP3,VAMP3
ENSG00000049246,8863,PER3,PER3
ENSG00000049247,10911,UTS2,UTS2
ENSG00000049249,3604,TNFRSF9,TNFRSF9
ENSG00000050628,5733,PTGER3,PTGER3
ENSG00000052723,80143,SIKE1,SIKE1
ENSG00000053371,8574,AKR7A2,AKR7A2
ENSG00000053372,51154,MRTO4,C1orf33
ENSG00000054116,27095,TRAPPC3,TRAPPC3
ENSG00000054118,9967,THRAP3,THRAP3
ENSG00000054392,55733,HHAT,HHAT
ENSG00000054523,23095,KIF1B,KIF1B
ENSG00000055070,26099,SZRD1,SZRD1
ENSG00000055732,55283,MCOLN3,MCOLN3
ENSG00000057252,6646,SOAT1,SOAT1
ENSG00000057468,4438,MSH4,MSH4
ENSG00000057757,57095,PITHD1,PITHD1
ENSG00000058085,3918,LAMC2,LAMC2
ENSG00000058453,9696,CROCC,CROCC
ENSG00000058668,493,ATP2B4,ATP2B4
ENSG00000058673,9877,ZC3H11A,ZC3H11A
ENSG00000058799,54432,YIPF1,YIPF1
ENSG00000058804,55706,NDC1,NDC1
ENSG00000060642,55650,PIGV,PIGV
ENSG00000060656,10076,PTPRU,PTPRU
ENSG00000060688,9410,SNRNP40,WDR57
ENSG00000060718,1301,COL11A1,COL11A1
ENSG00000064703,11218,DDX20,DDX20
ENSG00000064886,1117,CHI3L2,CHI3L2
ENSG00000065135,2773,GNAI3,GNAI3
ENSG00000065183,10885,WDR3,WDR3
ENSG00000065243,5586,PKN2,PKN2
ENSG00000065526,23013,SPEN,SPEN
ENSG00000065600,55248,PACC1,PACC1
ENSG00000065978,4904,YBX1,YBX1
ENSG00000066027,5525,PPP2R5A,PPP2R5A
ENSG00000066056,7075,TIE1,TIE1
ENSG00000066135,9682,KDM4A,KDM4A
ENSG00000066136,4802,NFYC,NFYC
ENSG00000066185,84217,ZMYND12,ZMYND12
ENSG00000066279,259266,ASPM,ASPM
ENSG00000066294,8832,CD84,CD84
ENSG00000066322,64834,ELOVL1,ELOVL1
ENSG00000066557,55631,LRRC40,LRRC40
ENSG00000067208,7813,EVI5,EVI5
ENSG00000067334,30836,DNTTIP2,DNTTIP2
ENSG00000067533,51018,RRP15,RRP15
ENSG00000067606,5590,PRKCZ,PRKCZ
ENSG00000067704,55699,IARS2,IARS2
ENSG00000069248,55746,NUP133,NUP133
ENSG00000069275,64710,NUCKS1,NUCKS1
ENSG00000069424,8514,KCNAB2,KCNAB2
ENSG00000069702,7049,TGFBR3,TGFBR3
ENSG00000069812,54626,HES2,HES2
ENSG00000070759,10420,TESK2,TESK2
ENSG00000070785,8891,EIF2B3,EIF2B3
ENSG00000070831,998,CDC42,CDC42
ENSG00000070886,2046,EPHA8,EPHA8
ENSG00000072694,2213,FCGR2B,FCGR2B
ENSG00000073754,922,CD5L,CD5L
ENSG00000073756,5743,PTGS2,PTGS2
ENSG00000074800,2023,ENO1,ENO1
ENSG00000074964,55160,ARHGEF10L,ARHGEF10L
ENSG00000075151,8672,EIF4G3,EIF4G3
ENSG00000075391,9462,RASAL2,RASAL2
ENSG00000075945,22920,KIFAP3,KIFAP3
ENSG00000076258,2329,FMO4,FMO4
ENSG00000076321,27252,KLHL20,KLHL20
ENSG00000076356,5362,PLXNA2,PLXNA2
ENSG00000076864,5909,RAP1GAP,RAP1GAP
ENSG00000077152,29089,UBE2T,UBE2T
ENSG00000077157,4660,PPP1R12B,PPP1R12B
ENSG00000077254,23032,USP33,USP33
ENSG00000077549,832,CAPZB,CAPZB
ENSG00000078369,2782,GNB1,GNB1
ENSG00000078618,4898,NRDC,NRDC
ENSG00000078808,51150,SDF4,SDF4
ENSG00000078900,7161,TP73,TP73
ENSG00000079277,8569,MKNK1,MKNK1
ENSG00000079335,8556,CDC14A,CDC14A
ENSG00000079739,5236,PGM1,PGM1
ENSG00000080910,3080,CFHR2,CFHR2
ENSG00000080947,114819,CROCCP3,NA
ENSG00000081019,54665,RSBN1,RSBN1
ENSG00000081026,260425,MAGI3,MAGI3
ENSG00000081237,5788,PTPRC,PTPRC
ENSG00000081248,779,CACNA1S,CACNA1S
ENSG00000081277,5317,PKP1,PKP1
ENSG00000081692,65094,JMJD4,JMJD4
ENSG00000081721,11266,DUSP12,DUSP12
ENSG00000081870,51668,IFT25,IFT25
ENSG00000081985,3595,IL12RB2,IL12RB2
ENSG00000082482,3776,KCNK2,KCNK2
ENSG00000082497,56256,SERTAD4,SERTAD4
ENSG00000082512,7188,TRAF5,TRAF5
ENSG00000083444,5351,PLOD1,PLOD1
ENSG00000084070,64744,SMAP2,SMAP2
ENSG00000084072,10450,PPIE,PPIE
