ensembl_gene_id,external_gene_name
ENSG00000288475,CASP8AP2
ENSG00000159259,CHAF1B
ENSG00000051180,RAD51
ENSG00000278787,UBR7
ENSG00000171421,MRPL36
ENSG00000132646,PCNA
ENSG00000093009,CDC45
ENSG00000100297,MCM5
ENSG00000131153,GINS2
ENSG00000012963,UBR7
ENSG00000136982,DSCC1
ENSG00000129173,E2F8
ENSG00000092470,WDR76
ENSG00000176890,TYMS
ENSG00000077514,POLD3
ENSG00000094804,CDC6
ENSG00000156802,ATAD2
ENSG00000118412,CASP8AP2
ENSG00000101868,POLA1
ENSG00000092853,CLSPN
ENSG00000163950,SLBP
ENSG00000162607,USP1
ENSG00000175305,CCNE2
ENSG00000197299,BLM
ENSG00000168496,FEN1
ENSG00000112312,GMNN
ENSG00000151725,CENPU
ENSG00000075131,TIPIN
ENSG00000143476,DTL
ENSG00000049541,RFC2
ENSG00000104738,MCM4
ENSG00000167325,RRM1
ENSG00000119969,HELLS
ENSG00000171848,RRM2
ENSG00000132780,NASP
ENSG00000276043,UHRF1
ENSG00000111247,RAD51AP1
ENSG00000166508,MCM7
ENSG00000076248,UNG
ENSG00000174371,EXO1
ENSG00000198056,PRIM1
ENSG00000144354,CDCA7
ENSG00000125630,POLR1B
ENSG00000076003,MCM6
ENSG00000095002,MSH2
